epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88756,1.55883,3.1199,1.52919,0.01749,0.8698,0.40259,0.22176,1.27721,3.09397,1.22162,0.00028339,0.00028339,0.00028339
2,9.05119,1.22641,1.37323,1.27318,0.72415,0.51544,0.634,0.26819,1.68637,2.16312,1.34911,0.00058114,0.00058114,0.00058114
3,13.1696,1.08485,1.02026,1.18712,0.39393,0.39631,0.3656,0.19461,1.5177,2.31863,1.43096,0.000876513,0.000876513,0.000876513
4,17.3018,1.04861,0.93174,1.16928,0.75519,0.70772,0.68982,0.43756,1.24248,1.30401,1.12016,0.00116951,0.00116951,0.00116951
5,21.524,1.0295,0.87314,1.15503,0.59212,0.64206,0.50578,0.28838,1.36036,1.59875,1.22458,0.00146013,0.00146013,0.00146013
6,25.6158,1.00915,0.83991,1.1465,0.08556,0.12114,0.06291,0.01418,3.38809,3.01763,2.85451,0.00163399,0.00163399,0.00163399
7,29.8645,1.02331,0.82305,1.15644,0.1195,0.27483,0.07066,0.02005,2.54284,3.65902,2.28098,0.00162739,0.00162739,0.00162739
8,34.6305,0.96325,0.76659,1.12685,0.20431,0.46107,0.24262,0.09537,2.06633,2.3461,1.75517,0.00162079,0.00162079,0.00162079
9,39.5226,0.95727,0.76244,1.12832,0.25078,0.46745,0.24594,0.14124,1.34673,2.09892,1.19338,0.00161419,0.00161419,0.00161419
10,44.0851,0.91384,0.72337,1.10723,0.89325,0.80805,0.83534,0.54005,1.23786,0.92804,1.07277,0.00160759,0.00160759,0.00160759
11,48.8767,0.9295,0.73102,1.11233,0.7638,0.69195,0.72703,0.48044,1.26804,1.2644,1.13804,0.00160099,0.00160099,0.00160099
12,53.1789,0.89592,0.69522,1.104,0.74934,0.60403,0.60441,0.21118,2.22321,1.35201,1.6842,0.00159439,0.00159439,0.00159439
13,57.7156,0.83981,0.67358,1.07366,0.84891,0.72022,0.7945,0.50377,1.16052,0.97145,1.06429,0.00158778,0.00158778,0.00158778
14,62.3537,0.86988,0.67228,1.08644,0.4528,0.40772,0.38532,0.22667,1.50264,1.70303,1.25976,0.00158118,0.00158118,0.00158118
15,66.9953,0.8357,0.64896,1.07781,0.87518,0.68938,0.80069,0.3771,1.75178,1.14108,1.39719,0.00157458,0.00157458,0.00157458
16,71.33,0.8492,0.65225,1.08112,0.94386,0.78421,0.87566,0.66318,0.79331,0.99593,0.90309,0.00156798,0.00156798,0.00156798
17,75.6718,0.83523,0.63804,1.07117,0.87827,0.78591,0.87292,0.59872,0.99887,0.88518,1.00644,0.00156138,0.00156138,0.00156138
18,80.0729,0.83492,0.63538,1.07652,0.94158,0.84463,0.93423,0.67466,0.91227,0.59772,0.91011,0.00155478,0.00155478,0.00155478
19,84.6021,0.79894,0.60872,1.05432,0.96698,0.81946,0.92235,0.5194,1.57325,0.74857,1.20411,0.00154818,0.00154818,0.00154818
20,88.9266,0.81534,0.62822,1.07145,0.94738,0.85436,0.94103,0.67378,0.95693,0.67409,0.94066,0.00154157,0.00154157,0.00154157
21,93.2768,0.77055,0.58872,1.05008,0.92,0.81309,0.90966,0.52354,1.43524,0.87521,1.11979,0.00153497,0.00153497,0.00153497
22,97.5608,0.7889,0.6135,1.05411,0.93711,0.78503,0.83735,0.57851,1.04006,0.8164,1.03694,0.00152837,0.00152837,0.00152837
23,102.01,0.80139,0.61377,1.05478,0.8112,0.72092,0.80788,0.59139,0.94774,0.86351,0.95605,0.00152177,0.00152177,0.00152177
24,106.381,0.79579,0.60093,1.05651,0.92477,0.78356,0.86631,0.53811,1.33804,0.77854,1.07134,0.00151517,0.00151517,0.00151517
25,110.625,0.76514,0.59286,1.04924,0.58632,0.71104,0.70571,0.40066,1.36298,1.25134,1.19371,0.00150857,0.00150857,0.00150857
26,114.724,0.80953,0.59499,1.0587,0.09519,0.4604,0.1198,0.04857,1.86607,3.34658,1.5472,0.00150197,0.00150197,0.00150197
27,119.244,0.7776,0.58677,1.05548,0.94408,0.83926,0.9279,0.6341,1.12311,0.62961,1.00285,0.00149537,0.00149537,0.00149537
28,123.987,0.76303,0.59246,1.05196,0.94641,0.86521,0.94393,0.6988,0.90316,0.5994,0.89779,0.00148876,0.00148876,0.00148876
29,128.274,0.7611,0.56757,1.04822,0.92746,0.8443,0.9047,0.68999,0.86707,0.6391,0.90934,0.00148216,0.00148216,0.00148216
30,132.51,0.73693,0.5605,1.0392,0.44933,0.50336,0.36471,0.19317,1.41653,1.89969,1.23198,0.00147556,0.00147556,0.00147556
31,136.929,0.73538,0.55637,1.03576,0.49372,0.63087,0.55445,0.23032,1.74587,1.52299,1.35593,0.00146896,0.00146896,0.00146896
32,141.423,0.73221,0.56424,1.03423,0.95077,0.87148,0.96042,0.79286,0.63003,0.45676,0.8333,0.00146236,0.00146236,0.00146236
33,145.594,0.71826,0.54967,1.03251,0.9392,0.87085,0.95122,0.72092,0.89282,0.52637,0.87761,0.00145576,0.00145576,0.00145576
34,149.858,0.72116,0.55247,1.03425,0.79941,0.53691,0.63397,0.26224,1.67435,1.60647,1.38962,0.00144916,0.00144916,0.00144916
35,154.646,0.72412,0.54762,1.03139,0.95694,0.86913,0.95599,0.74407,0.85112,0.50007,0.85565,0.00144256,0.00144256,0.00144256
36,159.116,0.74241,0.55326,1.03676,0.94218,0.87919,0.95517,0.75967,0.71968,0.51529,0.86195,0.00143595,0.00143595,0.00143595
37,163.326,0.71077,0.55335,1.02715,0.94085,0.82919,0.89648,0.58999,1.27124,0.66119,1.05633,0.00142935,0.00142935,0.00142935
38,167.745,0.70316,0.54014,1.02595,0.9679,0.77911,0.84752,0.52815,1.43359,0.89,1.08701,0.00142275,0.00142275,0.00142275
39,171.959,0.69325,0.52704,1.02118,0.97197,0.81644,0.90442,0.69108,0.82663,0.60932,0.91093,0.00141615,0.00141615,0.00141615
40,176.283,0.69719,0.53061,1.02995,0.9735,0.78289,0.86044,0.45089,1.78237,0.93073,1.31152,0.00140955,0.00140955,0.00140955
41,180.784,0.70106,0.53612,1.02156,0.95223,0.86644,0.94779,0.70241,0.89509,0.52454,0.90221,0.00140295,0.00140295,0.00140295
42,185.126,0.67918,0.531,1.01714,0.95872,0.82604,0.92129,0.69087,0.86359,0.56554,0.89364,0.00139635,0.00139635,0.00139635
