epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6928,1.37889,2.27046,1.37835,0.02978,0.85269,0.24845,0.095,1.86974,2.90469,1.44896,0.00053979,0.00053979,0.00053979
2,8.73432,1.14959,1.06875,1.20996,0.18454,0.0491,0.06982,0.02411,2.33855,3.3387,2.01818,0.00108461,0.00108461,0.00108461
3,12.8115,1.08155,0.93858,1.17416,0.86692,0.78445,0.76669,0.49739,1.2012,1.12096,1.17879,0.00161843,0.00161843,0.00161843
4,16.8513,1.06188,0.90329,1.15108,0.41522,0.68784,0.38246,0.20378,1.5626,1.73923,1.26314,0.00161749,0.00161749,0.00161749
5,20.8821,1.01725,0.85126,1.14117,0.7009,0.42922,0.43048,0.2665,1.19055,1.81476,1.08471,0.00160099,0.00160099,0.00160099
6,25.0637,0.98378,0.80509,1.1232,0.86528,0.81528,0.82206,0.58817,0.99874,0.94805,0.95229,0.00158448,0.00158448,0.00158448
7,29.1927,0.92645,0.75886,1.09897,0.89397,0.85659,0.87504,0.5308,1.38857,0.80185,1.11103,0.00156798,0.00156798,0.00156798
8,33.4413,0.91939,0.7251,1.09112,0.86961,0.82914,0.86944,0.58695,1.05151,0.77685,0.96315,0.00155148,0.00155148,0.00155148
9,37.5262,0.90369,0.71899,1.09229,0.90084,0.87062,0.86695,0.50872,1.37709,0.88351,1.11746,0.00153497,0.00153497,0.00153497
10,41.5658,0.84385,0.67657,1.07339,0.87905,0.82775,0.84577,0.57728,1.05378,0.84332,0.99844,0.00151847,0.00151847,0.00151847
11,46.1964,0.86166,0.67384,1.07794,0.8402,0.78488,0.80247,0.44684,1.39346,1.07667,1.14911,0.00150197,0.00150197,0.00150197
12,50.8999,0.84541,0.68343,1.06958,0.9,0.86009,0.89349,0.6842,0.78416,0.69311,0.88324,0.00148546,0.00148546,0.00148546
13,55.0649,0.84534,0.65553,1.07797,0.51225,0.51816,0.43027,0.20296,1.79797,1.85627,1.33781,0.00146896,0.00146896,0.00146896
14,60.1479,0.81087,0.64709,1.05331,0.9028,0.87595,0.9149,0.70189,0.80102,0.65095,0.90069,0.00145246,0.00145246,0.00145246
15,64.8213,0.83262,0.66259,1.06414,0.90633,0.87485,0.93462,0.60159,1.2076,0.67227,0.99956,0.00143595,0.00143595,0.00143595
16,68.9844,0.77705,0.62439,1.0496,0.91185,0.87081,0.931,0.69401,0.83946,0.67013,0.8932,0.00141945,0.00141945,0.00141945
17,73.2444,0.8027,0.62458,1.05849,0.86862,0.79891,0.83845,0.58255,0.94234,0.85647,0.96035,0.00140295,0.00140295,0.00140295
18,77.7961,0.76366,0.6022,1.03619,0.88964,0.8419,0.90416,0.54643,1.34953,0.80526,1.10072,0.00138644,0.00138644,0.00138644
19,82.1761,0.75605,0.58935,1.03201,0.90484,0.88562,0.92232,0.63176,1.08865,0.66349,0.9678,0.00136994,0.00136994,0.00136994
20,86.6995,0.7616,0.58473,1.03401,0.9085,0.88114,0.91518,0.56998,1.38785,0.7575,1.06381,0.00135344,0.00135344,0.00135344
21,91.2015,0.74838,0.58083,1.03127,0.88633,0.88429,0.91851,0.71561,0.77792,0.60161,0.85556,0.00133693,0.00133693,0.00133693
22,95.4047,0.74566,0.58229,1.03793,0.92413,0.86438,0.9317,0.72219,0.71236,0.57714,0.85879,0.00132043,0.00132043,0.00132043
23,99.8633,0.73686,0.57943,1.03125,0.92201,0.86243,0.93417,0.72457,0.72353,0.58752,0.84289,0.00130393,0.00130393,0.00130393
24,103.918,0.74162,0.57175,1.0344,0.90547,0.86972,0.93856,0.74008,0.76844,0.56268,0.85778,0.00128742,0.00128742,0.00128742
25,108.181,0.72713,0.56501,1.02906,0.9072,0.8686,0.92643,0.666,1.0156,0.61659,0.91872,0.00127092,0.00127092,0.00127092
26,112.457,0.74215,0.56616,1.0293,0.94731,0.8829,0.95665,0.73864,0.85789,0.56537,0.86538,0.00125442,0.00125442,0.00125442
27,116.787,0.71658,0.57263,1.02415,0.92098,0.87666,0.95302,0.7746,0.67447,0.48791,0.82121,0.00123791,0.00123791,0.00123791
28,120.767,0.71312,0.5523,1.02549,0.87946,0.8332,0.8862,0.51893,1.29391,0.76583,1.08242,0.00122141,0.00122141,0.00122141
29,124.748,0.72315,0.5444,1.02278,0.92506,0.85503,0.94132,0.75967,0.71303,0.55758,0.87481,0.00120491,0.00120491,0.00120491
30,128.771,0.72082,0.56407,1.02347,0.94024,0.894,0.95071,0.7778,0.64752,0.49262,0.83787,0.0011884,0.0011884,0.0011884
31,133.094,0.68619,0.54836,1.01344,0.90491,0.83359,0.91533,0.71382,0.75242,0.60092,0.88424,0.0011719,0.0011719,0.0011719
32,137.249,0.69518,0.55949,1.01299,0.73336,0.76851,0.71786,0.47543,1.04857,0.96471,0.97872,0.0011554,0.0011554,0.0011554
33,141.221,0.68322,0.537,1.01303,0.93854,0.88076,0.95747,0.77966,0.65234,0.50288,0.82287,0.00113889,0.00113889,0.00113889
34,145.248,0.68329,0.52939,1.00828,0.92564,0.89267,0.95229,0.73553,0.81966,0.50688,0.87718,0.00112239,0.00112239,0.00112239
35,149.32,0.69907,0.53684,1.01328,0.94968,0.86789,0.95605,0.78166,0.60905,0.46661,0.82546,0.00110589,0.00110589,0.00110589
36,153.529,0.67968,0.52718,1.00578,0.93485,0.86477,0.94821,0.78323,0.63748,0.51413,0.82265,0.00108938,0.00108938,0.00108938
37,157.692,0.65456,0.51932,1.00602,0.90772,0.87412,0.86636,0.70773,0.6663,0.62809,0.8248,0.00107288,0.00107288,0.00107288
38,162.154,0.62966,0.50781,0.99352,0.9166,0.90179,0.94289,0.77595,0.668,0.50457,0.81512,0.00105638,0.00105638,0.00105638
39,166.214,0.65643,0.49763,1.0012,0.85409,0.82424,0.88521,0.65017,0.75976,0.69527,0.87866,0.00103987,0.00103987,0.00103987
40,170.373,0.64095,0.5043,0.99826,0.93682,0.88309,0.94031,0.77486,0.62691,0.50705,0.8106,0.00102337,0.00102337,0.00102337
41,174.426,0.64464,0.50574,1.00274,0.90953,0.89725,0.95113,0.76762,0.71428,0.48736,0.81891,0.00100687,0.00100687,0.00100687
42,178.578,0.63291,0.48804,0.99299,0.93688,0.89085,0.94386,0.76091,0.75341,0.50466,0.82723,0.000990365,0.000990365,0.000990365
43,182.611,0.63492,0.50093,0.99939,0.94809,0.91823,0.9707,0.73369,0.88345,0.4801,0.88332,0.000973861,0.000973861,0.000973861
44,186.577,0.63938,0.5014,0.99941,0.93712,0.8886,0.95539,0.77187,0.67435,0.47261,0.83282,0.000957358,0.000957358,0.000957358
45,190.722,0.63544,0.49554,0.9991,0.91333,0.88299,0.94285,0.71182,0.80917,0.52775,0.88239,0.000940855,0.000940855,0.000940855
46,195.534,0.61041,0.47856,0.98848,0.93571,0.91314,0.96937,0.81418,0.56044,0.4145,0.82149,0.000924352,0.000924352,0.000924352
47,200.328,0.61374,0.48019,0.98752,0.93378,0.90725,0.96353,0.77196,0.68665,0.45816,0.84382,0.000907848,0.000907848,0.000907848
48,204.532,0.6098,0.48097,0.98927,0.91033,0.90764,0.93457,0.78434,0.57381,0.48217,0.81707,0.000891345,0.000891345,0.000891345
49,208.635,0.62513,0.49389,0.98565,0.92282,0.91387,0.96514,0.75527,0.79618,0.47823,0.83487,0.000874842,0.000874842,0.000874842
50,212.718,0.60486,0.47303,0.98108,0.96005,0.89917,0.97545,0.84682,0.5152,0.41013,0.7829,0.000858338,0.000858338,0.000858338
51,216.91,0.60299,0.4795,0.98518,0.89271,0.86243,0.8855,0.68101,0.77851,0.65543,0.88892,0.000841835,0.000841835,0.000841835
52,221.36,0.60033,0.47908,0.98646,0.95092,0.89751,0.96636,0.80524,0.63467,0.46838,0.82611,0.000825332,0.000825332,0.000825332
53,225.604,0.58212,0.46531,0.97507,0.96293,0.88932,0.97314,0.78443,0.70975,0.44131,0.81399,0.000808828,0.000808828,0.000808828
54,229.663,0.59433,0.47922,0.98444,0.9339,0.90299,0.96445,0.79487,0.61383,0.43076,0.81064,0.000792325,0.000792325,0.000792325
