epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62029,1.20721,1.79001,1.30666,0.79719,0.71007,0.82619,0.60511,0.95101,1.42013,1.07338,0.000551257,0.000551257,0.000551257
2,16.6445,0.98919,1.08197,1.17206,0.78895,0.74536,0.82096,0.5257,1.32451,1.13105,1.17522,0.00110327,0.00110327,0.00110327
3,24.7581,0.9274,0.9946,1.13808,0.67806,0.70333,0.77333,0.48275,1.5383,1.21518,1.30071,0.00165162,0.00165162,0.00165162
4,33.8363,0.92036,0.95608,1.14051,0.77412,0.85458,0.89971,0.66121,0.90741,0.8308,1.07493,0.0016505,0.0016505,0.0016505
5,43.223,0.87644,0.90682,1.12816,0.76793,0.74127,0.84541,0.61808,0.97252,0.90032,1.03531,0.001645,0.001645,0.001645
6,52.2119,0.84717,0.851,1.11382,0.78813,0.81715,0.88979,0.60415,1.20285,0.84329,1.13279,0.00163949,0.00163949,0.00163949
7,61.6,0.82184,0.83185,1.09883,0.72845,0.82724,0.86,0.65161,0.80329,0.83123,1.02881,0.00163399,0.00163399,0.00163399
8,70.5144,0.79523,0.80798,1.08449,0.81789,0.80605,0.89487,0.6988,0.74573,0.7506,0.9752,0.00162849,0.00162849,0.00162849
9,79.2975,0.78176,0.79457,1.0861,0.86337,0.87867,0.93679,0.68468,1.01584,0.72396,1.0203,0.00162299,0.00162299,0.00162299
10,87.999,0.76075,0.78478,1.07641,0.69434,0.67077,0.70751,0.4784,1.06638,1.18601,1.15597,0.00161749,0.00161749,0.00161749
11,96.7679,0.74771,0.77194,1.07139,0.82441,0.87704,0.9315,0.77365,0.63011,0.64256,0.93003,0.00161199,0.00161199,0.00161199
12,106.356,0.72829,0.74919,1.05794,0.83649,0.86382,0.93395,0.76428,0.67605,0.64671,0.92243,0.00160649,0.00160649,0.00160649
13,115.71,0.7188,0.75435,1.05368,0.87918,0.83678,0.9339,0.70696,0.81287,0.70793,0.96779,0.00160099,0.00160099,0.00160099
14,124.691,0.70646,0.72976,1.05112,0.8305,0.84915,0.90586,0.731,0.66726,0.6764,0.97504,0.00159549,0.00159549,0.00159549
15,133.585,0.68905,0.70307,1.04441,0.89651,0.86596,0.94295,0.68715,0.96853,0.67873,0.98274,0.00158998,0.00158998,0.00158998
16,142.787,0.69137,0.726,1.04499,0.8823,0.82541,0.9331,0.71464,0.89496,0.61791,1.00562,0.00158448,0.00158448,0.00158448
17,152.123,0.67222,0.69433,1.04087,0.87339,0.86418,0.9349,0.77928,0.66463,0.59738,0.93182,0.00157898,0.00157898,0.00157898
18,161.541,0.67745,0.70658,1.03738,0.87471,0.87903,0.951,0.76269,0.69456,0.6043,0.91298,0.00157348,0.00157348,0.00157348
19,170.968,0.67315,0.69671,1.03597,0.91116,0.84698,0.94803,0.80866,0.55539,0.57297,0.88933,0.00156798,0.00156798,0.00156798
20,180.382,0.66811,0.69295,1.03881,0.91586,0.84154,0.94738,0.79151,0.65317,0.57064,0.92137,0.00156248,0.00156248,0.00156248
21,189.806,0.65584,0.69244,1.02715,0.88585,0.85458,0.94402,0.64779,1.20112,0.66615,1.06802,0.00155698,0.00155698,0.00155698
22,199.098,0.63947,0.67488,1.02416,0.85395,0.85567,0.93414,0.74339,0.78408,0.62996,0.97821,0.00155148,0.00155148,0.00155148
