epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,23.1178,1.24388,2.38773,1.26228,0.95625,0.12374,0.79748,0.6298,1.09971,2.34923,0.99359,0.00988095,0.00329365,0.00988095,0.00329365,0.00988095,0.00329365,0.00988095,0.00329365
2,46.0454,0.98735,1.08221,1.10874,0.88376,0.82815,0.87647,0.6534,1.08278,1.17461,0.94059,0.0198416,0.00661386,0.0198416,0.00661386,0.0198416,0.00661386,0.0198416,0.00661386
3,70.1715,1.01082,1.00917,1.13114,0.75876,0.67493,0.66965,0.48925,1.41046,1.50673,1.19153,0.0297626,0.00992087,0.0297626,0.00992087,0.0297626,0.00992087,0.0297626,0.00992087
4,95.6247,0.99363,0.94673,1.13704,0.92276,0.49826,0.49587,0.43908,1.7009,3.77172,1.45512,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,120.037,0.92282,0.86632,1.11329,0.79845,0.77976,0.79189,0.56088,1.4493,1.26973,1.33384,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,144.383,0.87758,0.81271,1.0986,0.82762,0.7965,0.81696,0.59432,1.18679,1.12854,1.1673,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,168.847,0.83402,0.76932,1.08228,0.8699,0.87465,0.9046,0.71375,0.90139,0.86467,0.91575,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,193.45,0.79955,0.74301,1.07099,0.72416,0.72086,0.7199,0.62805,1.15299,1.52567,1.10376,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,218.166,0.76955,0.71471,1.05916,0.93018,0.84637,0.94145,0.76127,0.81588,0.7038,0.87747,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,243.209,0.75641,0.69941,1.05721,0.91118,0.88952,0.926,0.76238,0.75712,0.68522,0.88267,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
