epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.502,1.15863,1.36318,1.37147,0.81057,0.56435,0.66218,0.50951,1.51455,1.83142,1.56999,0.000552359,0.000552359,0.000552359
2,354.885,1.0585,0.97614,1.30005,0.69957,0.71016,0.77167,0.56626,1.31961,1.28243,1.29873,0.00107146,0.00107146,0.00107146
3,529.715,0.97489,0.86995,1.25018,0.56939,0.61956,0.55559,0.41542,1.82121,2.35435,1.67834,0.00155389,0.00155389,0.00155389
4,608.674,0.93861,0.83532,1.24168,0.8243,0.77327,0.86313,0.70344,0.96896,0.93445,1.13474,0.00150197,0.00150197,0.00150197
5,687.851,0.88398,0.78754,1.20905,0.90922,0.86437,0.9244,0.77062,0.81304,0.67874,1.00414,0.00144696,0.00144696,0.00144696
6,768.128,0.8355,0.7518,1.18827,0.81545,0.71348,0.76997,0.57766,1.39212,1.31343,1.37968,0.00139195,0.00139195,0.00139195
7,849.096,0.7842,0.71182,1.16215,0.9216,0.91709,0.95007,0.8279,0.64645,0.551,0.91302,0.00133693,0.00133693,0.00133693
8,929.888,0.74889,0.68981,1.14571,0.92597,0.91313,0.94958,0.80264,0.69606,0.56105,0.92878,0.00128192,0.00128192,0.00128192
9,1010.25,0.72444,0.67663,1.13297,0.90797,0.8667,0.91645,0.78281,0.7696,0.66639,0.95586,0.00122691,0.00122691,0.00122691
10,1089.98,0.6974,0.65457,1.12597,0.91729,0.9194,0.94313,0.78763,0.74426,0.58395,0.93989,0.0011719,0.0011719,0.0011719
11,1170.26,0.67954,0.64165,1.11449,0.92794,0.89002,0.93621,0.79594,0.69747,0.60462,0.91532,0.00111689,0.00111689,0.00111689
12,1251.72,0.65223,0.61495,1.09951,0.94369,0.92131,0.96161,0.83384,0.68924,0.52496,0.87327,0.00106188,0.00106188,0.00106188
13,1332.07,0.64142,0.61158,1.09405,0.95281,0.91714,0.96632,0.87268,0.50899,0.45865,0.82775,0.00100687,0.00100687,0.00100687
14,1411.71,0.63135,0.59816,1.09195,0.9452,0.90797,0.95494,0.85312,0.5765,0.51462,0.84296,0.000951857,0.000951857,0.000951857
15,1492,0.60948,0.58941,1.08047,0.93026,0.88953,0.95857,0.86647,0.50423,0.49414,0.84097,0.000896846,0.000896846,0.000896846
16,1571.2,0.59545,0.57428,1.07112,0.93289,0.92248,0.96601,0.84069,0.56899,0.50894,0.87372,0.000841835,0.000841835,0.000841835
17,1650.63,0.5852,0.56198,1.06878,0.93959,0.92512,0.96603,0.86612,0.56733,0.4506,0.81749,0.000786824,0.000786824,0.000786824
18,1730.42,0.57214,0.55405,1.06018,0.94311,0.91643,0.96288,0.86194,0.54538,0.47575,0.82755,0.000731813,0.000731813,0.000731813
19,1810.07,0.54927,0.5401,1.05391,0.9515,0.92126,0.96754,0.86916,0.55501,0.45304,0.83919,0.000676802,0.000676802,0.000676802
20,1889.44,0.53168,0.5272,1.04387,0.95965,0.9395,0.97712,0.90124,0.37705,0.37722,0.77283,0.000621791,0.000621791,0.000621791
21,1969.7,0.45671,0.4274,0.9837,0.94407,0.94014,0.97396,0.89771,0.46578,0.3932,0.78823,0.00056678,0.00056678,0.00056678
22,2049.76,0.44057,0.40462,0.97572,0.94173,0.94051,0.97033,0.87472,0.48504,0.44003,0.81636,0.000511769,0.000511769,0.000511769
23,2129.08,0.42416,0.40076,0.96786,0.9535,0.94193,0.97713,0.86212,0.50173,0.42873,0.85189,0.000456758,0.000456758,0.000456758
24,2209.09,0.40783,0.39047,0.95451,0.95529,0.9441,0.97815,0.9062,0.37604,0.39428,0.75367,0.000401747,0.000401747,0.000401747
25,2288.67,0.38287,0.37782,0.94291,0.95901,0.94903,0.98071,0.92059,0.39135,0.35332,0.74083,0.000346736,0.000346736,0.000346736
26,2368.51,0.38064,0.36828,0.94413,0.96208,0.95046,0.98202,0.9297,0.31094,0.32247,0.72343,0.000291725,0.000291725,0.000291725
27,2448.48,0.356,0.3529,0.93257,0.96362,0.9545,0.98359,0.9297,0.34391,0.32551,0.72735,0.000236714,0.000236714,0.000236714
28,2528.46,0.34812,0.34133,0.92441,0.96127,0.96001,0.985,0.93489,0.30653,0.30658,0.7201,0.000181703,0.000181703,0.000181703
29,2607.63,0.32919,0.33307,0.91673,0.95927,0.95993,0.98476,0.93422,0.29992,0.31204,0.71288,0.000126692,0.000126692,0.000126692
30,2687.38,0.31682,0.3214,0.90958,0.96483,0.96019,0.98567,0.94503,0.2721,0.29294,0.69663,7.1681e-05,7.1681e-05,7.1681e-05
